100%;Agent 1;M1;J1;S1;J1;M1;.;.;S1;J1;J1;S1;S1;.;.;J1;S1;J1;J1;J1;.;.;M1;M1;M1;Jca 1-2;J1;.;.;M1;M1;M1;M1;M1;.;.;S1;J1;J1;Jca 0-1;M1;.;.;J1;J1;J1;J1;S1;.;.;J1;M1;M1;M1;J1;.;.;M1;M1;M1;M1;J1;.;.
100%;Agent 2;S1;J1;J1;S1;S1;.;.;J1;S1;J1;J1;J1;.;.;M1;M1;M1;Jca 1-2;J1;.;.;M1;M1;M1;M1;M1;.;.;S1;J1;J1;Jca 0-1;M1;.;.;J1;J1;J1;J1;S1;.;.;J1;M1;M1;M1;J1;.;.;M1;M1;M1;M1;J1;.;.;M1;J1;S1;J1;M1;.;.
100%;Agent 3;J1;S1;J1;J1;J1;.;.;M1;M1;M1;Jca 1-2;J1;.;.;M1;M1;M1;M1;M1;.;.;S1;J1;J1;Jca 0-1;M1;.;.;J1;J1;J1;J1;S1;.;.;J1;M1;M1;M1;J1;.;.;M1;M1;M1;M1;J1;.;.;M1;J1;S1;J1;M1;.;.;S1;J1;J1;S1;S1;.;.
100%;Agent 4;M1;M1;M1;Jca 1-2;J1;.;.;M1;M1;M1;M1;M1;.;.;S1;J1;J1;Jca 0-1;M1;.;.;J1;J1;J1;J1;S1;.;.;J1;M1;M1;M1;J1;.;.;M1;M1;M1;M1;J1;.;.;M1;J1;S1;J1;M1;.;.;S1;J1;J1;S1;S1;.;.;J1;S1;J1;J1;J1;.;.
80%;Agent 1;J1;M1;.;.;.;.;.;.;.;Jca 2-2;J1;Jca 2-2;.;.;Jca 1-2;Jca 1-1;S1;J1;S1;.;.;Jca 1-2;Jca 2-2;.;M1;Jca 2-2;.;.;Jca 0-1;Jca 0-1;Jca 0-1;S1;J1;.;.;Jca 0-1;Jca 0-1;S1;S1;Jca 2-2;.;.;Jca 0-1;Jca 1-1;.;Jca 0-1;M1;.;.;J1;S1;.;J1;Jca 2-2;.;.;Jca 0-0;Jca 1-1;.;M1;M1;.;.
75%;Agent 1;.;.;Jca 1-1;M1;M1;.;.;Jca 0-1;J1;.;M1;M1;.;.;.;.;Jca 1-1;S1;.;.;.;Jca 1-2;Jca 1-2;Jca 2-2;J1;.;.;.;M1;S1;S1;J1;Jca 1-2;.;.;M1;S1;.;J1;M1;.;.;.;Jca 1-1;Jca 1-2;.;.;.;.;Jca 0-1;Jca 2-2;J1;Jca 1-1;M1;.;.;J1;M1;M1;Jca 2-2;Jca 2-2;.;.
70%;Agent 1;Jca 0-1;Jca 0-1;M1;M1;Jca 2-2;.;.;J1;Jca 2-2;S1;.;.;.;.;J1;J1;.;M1;Jca 0-1;.;.;J1;S1;S1;S1;J1;.;.;.;.;.;Jca 2-2;Jca 1-2;.;.;.;Jca 2-2;Jca 1-2;.;.;.;.;S1;S1;J1;S1;Jca 1-1;.;.;Jca 0-0;Jca 1-1;Jca 2-2;.;.;.;.;.;.;Jca 2-2;Jca 1-2;Jca 1-2;.;.
